player;credits;expected_points;rank_v13;seed;entry;ioc;real_draw_size;draw_size;bracket_size;r1_match;overall_elo;selected_surface_elo;peak_elo;recent_form;surface_form_60d;same_surface_ratio_60d;fatigue_load;minutes_30d;qualifier_momentum_raw;local_home_raw;matches_in_db
Andrey Rublev;14,2;61,29;1;1,0;;;32;32;32;1;1913,0;1897,7;2122,1;0,6666666666666666;0,875;0,8;1,6641316468563756;655,0;0,09;0,0;169
Nuno Borges;5,8;58,56;2;5,0;;POR;32;32;32;13;1779,1;1732,7;1843,6;0,5833333333333334;0,6666666666666666;0,4;0,9591322967497176;862,0;0,0299999999999999;0,0;168
Mariano Navone;3,6;49,3;3;4,0;;ARG;32;32;32;12;1790,0;1771,6;1875,9;0,5;0,5714285714285714;0,7777777777777778;0,7346965167130687;545,0;-0,05;0,0;166
Sebastian Baez;3,4;42,85;4;8,0;;ARG;32;32;32;4;1749,6;1717,0;1941,4;0,6666666666666666;0,7777777777777778;0,9;0,6257817061767533;416,0;0,0;0,0;148
Luciano Darderi;8,0;42,43;5;2,0;;ITA;32;32;32;16;1839,4;1843,0;1858,1;0,5833333333333334;0,5714285714285714;0,7;1,833954835161508;811,0;0,0299999999999999;0,0;180
Alejandro Tabilo;4,7;40,85;6;3,0;;CHI;32;32;32;5;1803,9;1771,9;1895,7;0,5;0,7142857142857143;0,7;1,4661241498188278;581,0;0,0;0,0;168
Adolfo Daniel Vallejo;1,8;39,87;7;;;;32;32;32;10;1721,2;1702,0;1780,4;0,5;0,625;0,8;2,479244545216813;1050,0;0,0499999999999999;0,0;157
Botic Van De Zandschulp;3,9;37,63;8;6,0;;NED;32;32;32;9;1734,2;1684,2;1938,0;0,4166666666666667;0,3333333333333333;0,375;1,2163649213629704;694,0;0,0;0,0;157
Jesper De Jong;2,0;36,79;9;;;NED;32;32;32;3;1715,9;1694,6;1741,0;0,6666666666666666;0,7333333333333333;0,8823529411764706;0,6718630393104082;604,0;0,0;0,0;180
Jan Choinski;1,0;36,33;10;;;GBR;32;32;32;7;1716,4;1679,5;1731,2;0,75;0,6666666666666666;0,6818181818181818;1,2710720827155573;1486,0;0,1;0,0;172
Thiago Agustin Tirante;4,5;35,08;11;7,0;;ARG;32;32;32;8;1750,0;1729,6;1759,1;0,5;0,6666666666666666;0,6666666666666666;1,3133228740097571;637,0;0,0;0,0;187
Facundo Diaz Acosta;1,0;28,82;12;;;ARG;32;32;32;6;1676,4;1667,3;1791,9;0,75;0,8095238095238095;0,9545454545454546;2,2500535051715254;1439,0;0,0499999999999999;0,0;137
Daniel Altmaier;4,6;24,12;13;;;GER;32;32;32;15;1724,1;1689,2;1789,1;0,4166666666666667;0,25;0,3333333333333333;0,5823760297330417;627,0;-0,05;0,0;171
Grigor Dimitrov;3,8;24,07;14;;WC;BUL;32;32;32;14;1758,1;1656,4;2111,5;0,6666666666666666;0,3333333333333333;0,2307692307692307;1,6539256146289771;1260,0;0,0999999999999999;0,0;119
Stefano Travaglia;1,0;18,79;15;;;ITA;32;32;32;11;1573,9;1534,4;1793,8;0,5833333333333334;0,5384615384615384;0,8666666666666667;0,8383706488033423;587,0;0,0;0,0;159
Andrea Pellegrino;1,7;15,74;16;;;ITA;32;32;32;2;1660,7;1644,0;1681,8;0,5833333333333334;0,6428571428571429;0,875;2,524558345271733;895,0;0,0;0,0;147
Nicolai Budkov Kjaer;1,7;11,62;17;;;NOR;32;32;32;2;1612,0;1568,3;1749,3;0,3333333333333333;0,3333333333333333;0,3333333333333333;0,3315594598011954;508,0;0,0;0,0;117
Sebastian Ofner;1,6;10,69;18;;;AUT;32;32;32;8;1699,2;1660,9;1812,7;0,5;0,5555555555555556;0,8181818181818182;0,5237319056312619;589,0;-0,0299999999999999;0,0;125
Martin Krumich;1,0;9,91;19;;Q;CZE;32;32;32;11;1474,4;1441,3;1513,5;0,5;0,5882352941176471;1,0;1,2743254429638722;925,0;0,3799999999999999;0,0;55
Dalibor Svrcina;1,0;9,55;20;;;CZE;32;32;32;14;1620,7;1561,4;1712,9;0,4166666666666667;0,5;0,9230769230769232;0,5041978480783156;506,0;-0,075;0,0;152
Hugo Gaston;1,0;8,99;21;;;FRA;32;32;32;15;1648,7;1592,8;1795,1;0,5833333333333334;0,625;0,6153846153846154;1,5682805579153996;1236,0;0,0499999999999999;0,0;166
Taro Daniel;1,0;7,42;22;;Q;JPN;32;32;32;9;1580,6;1557,2;1766,8;0,8333333333333334;0,7894736842105263;1,0;1,745337225644059;840,0;0,3999999999999999;0,0;136
Nikoloz Basilashvili;2,1;6,23;23;;;;32;32;32;7;1640,9;1605,0;1889,8;0,25;0,1666666666666666;0,5454545454545454;1,5464940137604857;661,0;-0,1;0,0;145
Lautaro Midon;1,0;5,26;24;;Q;ARG;32;32;32;6;1552,6;1535,8;1559,5;0,5833333333333334;0,6;0,9375;2,087191412090531;1225,0;0,3999999999999999;0,0;108
Vilius Gaubas;1,0;3,96;26;;;;32;32;32;3;1611,8;1551,7;1718,5;0,5;0,3333333333333333;0,6923076923076923;0,8388914188925849;975,0;0,0;0,0;164
Miguel Damas;1,0;3,09;27;;Q;ESP;32;32;32;10;1448,3;1424,2;1466,4;0,5;0,4285714285714285;1,0;2,062338006256337;1130,0;0,3999999999999999;0,0;58
Moise Kouame;2,1;1,78;28;;WC;FRA;32;32;32;13;1516,0;1378,5;1579,4;0,2222222222222222;0,4;1,0;0,1140114902939087;172,0;-0,0999999999999999;0,0;27
BYE;0,0;0,0;29;;;;32;32;32;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
BYE;0,0;0,0;29;;;;32;32;32;5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
BYE;0,0;0,0;29;;;;32;32;32;12;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
BYE;0,0;0,0;29;;;;32;32;32;16;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
